,symbol,price,market cap,exchange,currency,sector,industry,company_url
2841,KRNY,8.09,7.97,NasdaqGS,USD,Financial Services,Banks—Regional,https://www.kearnybank.com
2842,KEFI,170.00,170.00,Other OTC,USD,Financial Services,Banks—Regional,https://www.snb-t.com
2843,K,67.99,68.03,NYSE,USD,Consumer Defensive,Packaged Foods,https://www.kelloggcompany.com
2844,KELYA,16.23,16.12,NasdaqGS,USD,Industrials,Staffing & Employment Services,https://www.kellyservices.com
2845,KLYG,0.0880,0.0880,Other OTC,USD,Healthcare,Medical Devices,https://www.kelyniam.com
2846,KMPR,56.44,56.03,NYSE,USD,Financial Services,Insurance—Property & Casualty,https://www.kemper.com
2847,KMPH,5.81,5.83,NasdaqGS,USD,Healthcare,Biotechnology,https://zevra.com
2848,KEN,28.42,29.05,NYSE,USD,Utilities,Utilities—Independent Power Producers,https://www.kenon-holdings.com
2849,KMT,25.36,25.57,NYSE,USD,Industrials,Tools & Accessories,https://www.kennametal.com
2850,KW,16.00,16.09,NYSE,USD,Real Estate,Real Estate Services,https://www.kennedywilson.com
2851,KFFB,6.43,6.25,NasdaqGM,USD,Financial Services,Banks—Regional,https://ffsbky.bank
2852,KSSRF,0.0260,0.0193,Other OTC,USD,Basic Materials,Gold,https://kesselrunresources.com
2853,KGC,5.04,5.05,NYSE,USD,Basic Materials,Gold,https://www.kinross.com
2854,KDP,35.64,35.40,NasdaqGS,USD,Consumer Defensive,Beverages—Non-Alcoholic,https://www.keurigdrpepper.com
2855,KEQU,15.50,16.16,NasdaqGM,USD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",https://www.kewaunee.com
2856,KEWL,20.31,21.00,Other OTC,USD,Basic Materials,Lumber & Wood Production,https://www.keweenaw.com
2857,KTCC,7.05,7.21,NasdaqGM,USD,Technology,Computer Hardware,https://www.keytronic.com
2858,KEY,11.91,11.56,NYSE,USD,Financial Services,Banks—Regional,https://www.key.com
2859,KEYS,155.75,155.96,NYSE,USD,Technology,Scientific & Technical Instruments,https://www.keysight.com
2860,KFRC,62.52,63.01,NasdaqGS,USD,Industrials,Staffing & Employment Services,https://www.kforce.com
2861,LRN,37.89,37.80,NYSE,USD,Consumer Defensive,Education & Training Services,https://www.stridelearning.com
2862,DLCR,0.0003,0.0003,Other OTC,USD,Basic Materials,Other Industrial Metals & Mining,https://www.kibushcapital.com
2863,KGRI,0.0000,0.0000,Other OTC,USD,Financial Services,Capital Markets,https://www.kgrigroup.com
2864,KRC,32.13,32.06,NYSE,USD,Real Estate,REIT—Office,https://www.kilroyrealty.com
2865,KE,22.67,23.01,NasdaqGS,USD,Industrials,Electrical Equipment & Parts,https://www.kimballelectronics.com
2866,KBAL,12.25,12.26,NasdaqGS,USD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",https://www.kimballinternational.com
2867,KRP,15.32,15.58,NYSE,USD,Energy,Oil & Gas E&P,https://www.kimbellrp.com
2868,KPOC,0.0003,0.0003,Other OTC,USD,Consumer Defensive,Household & Personal Products,https://www.kimberlyparry.com
2869,KMB,136.49,135.66,NYSE,USD,Consumer Defensive,Household & Personal Products,https://www.kimberly-clark.com
2870,KIM,19.07,19.12,NYSE,USD,Real Estate,REIT—Retail,https://www.kimcorealty.com
2871,KMI,17.71,17.71,NYSE,USD,Energy,Oil & Gas Midstream,https://www.kindermorgan.com
2872,KNIT,4.7500,4.7500,Other OTC,USD,Communication Services,Telecom Services,https://www.thekineticgroup.com
2873,KINS,1.2700,1.2900,NasdaqCM,USD,Financial Services,Insurance—Property & Casualty,https://www.kingstonecompanies.com
2874,KFS,8.74,8.70,NYSE,USD,Consumer Cyclical,Auto & Truck Dealerships,https://kingsway-financial.com
2875,KWR,192.17,191.92,NYSE,USD,Basic Materials,Specialty Chemicals,https://www.quakerhoughton.com
2876,KNSA,10.71,10.44,NasdaqGS,USD,Healthcare,Biotechnology,https://www.kiniksa.com
2877,KNSL,305.96,300.37,NYSE,USD,Financial Services,Insurance—Property & Casualty,https://www.kinsalecapitalgroup.com
2878,KEX,67.72,68.67,NYSE,USD,Industrials,Marine Shipping,https://kirbycorp.com
2879,KIRK,2.8200,2.7600,NasdaqGS,USD,Consumer Cyclical,Specialty Retail,https://www.kirklands.com
2880,KISB,33.03,33.03,Other OTC,USD,Financial Services,Banks—Regional,https://www.mykish.com
2881,KRG,20.36,20.25,NYSE,USD,Real Estate,REIT—Retail,https://www.kiterealty.com
2882,KREF,11.07,11.06,NYSE,USD,Real Estate,REIT—Mortgage,https://www.kkrreit.com
2883,KLAC,374.66,381.61,NasdaqGS,USD,Technology,Semiconductor Equipment & Materials,https://www.kla.com
2884,KLXE,12.01,12.35,NasdaqGS,USD,Energy,Oil & Gas Equipment & Services,https://www.klxenergy.com
2885,KNX,54.58,54.95,NYSE,USD,Industrials,Trucking,https://knight-swift.com
2886,KNOP,5.03,5.15,NYSE,USD,Industrials,Marine Shipping,https://www.knotoffshorepartners.com
2887,KN,16.57,16.67,NYSE,USD,Technology,Communication Equipment,https://www.knowles.com
2888,KOD,4.7600,4.7900,NasdaqGM,USD,Healthcare,Biotechnology,https://kodiak.com
2889,KSS,22.66,22.60,NYSE,USD,Consumer Cyclical,Department Stores,https://www.Kohls.com
2890,KGKG,0.0038,0.0038,Other OTC,USD,Healthcare,Drug Manufacturers—Specialty & Generic,https://konagoldbeverage.com
2891,KRED,0.0000,0.0000,Other OTC,USD,Consumer Defensive,Beverages—Non-Alcoholic,https://www.konared.com
2892,PHG,18.57,18.16,NYSE,USD,Healthcare,Medical Devices,https://www.philips.com
2893,KTB,45.71,46.96,NYSE,USD,Consumer Cyclical,Apparel Manufacturing,https://www.kontoorbrands.com
2894,KOPN,1.0100,1.0100,NasdaqCM,USD,Technology,Electronic Components,https://www.kopin.com
2895,KOP,33.27,33.44,NYSE,USD,Basic Materials,Specialty Chemicals,https://www.koppers.com
2896,KORE,1.2300,1.1900,NYSE,USD,Communication Services,Telecom Services,https://www.korewireless.com
2897,KF,21.49,21.68,NYSE,USD,Financial Services,Asset Management,https://www.thekoreafund.com
2898,KFY,49.63,49.87,NYSE,USD,Industrials,Staffing & Employment Services,https://www.kornferry.com
2899,KRNT,17.65,17.84,NasdaqGS,USD,Industrials,Specialty Industrial Machinery,https://www.kornit.com
2900,KOS,7.61,7.82,NYSE,USD,Energy,Oil & Gas E&P,https://www.kosmosenergy.com
2901,KOSS,4.5000,4.4600,NasdaqCM,USD,Technology,Consumer Electronics,https://www.koss.com
2902,KHC,39.14,39.02,NasdaqGS,USD,Consumer Defensive,Packaged Foods,https://www.kraftheinzcompany.com
2903,KBLB,0.0415,0.0440,Other OTC,USD,Basic Materials,Specialty Chemicals,https://www.kraiglabs.com
2904,KTOS,12.89,12.90,NasdaqGS,USD,Industrials,Aerospace & Defense,https://www.kratosdefense.com
2905,KR,48.52,48.06,NYSE,USD,Consumer Defensive,Grocery Stores,https://www.thekrogerco.com
2906,KRO,8.90,8.91,NYSE,USD,Basic Materials,Specialty Chemicals,https://kronostio2.com
